dataset,scale,metric,cardinality,dimensionality,index_build_time,k,algorithm,throughput,recall
sift,64.0,euclidean,64000000,128,497.3597,100,RepeatedRnn,1.7370023,1.0
sift,64.0,euclidean,64000000,128,497.3597,100,Linear,6.52679,1.0
fashion-mnist,32.0,euclidean,1920000,784,17.773115,100,GreedySieve,806.61365,1.0
fashion-mnist,32.0,euclidean,1920000,784,17.773115,100,Sieve,89.68078,1.0
fashion-mnist,32.0,euclidean,1920000,784,17.773115,100,SieveSepCenter,89.96502,1.0
fashion-mnist,32.0,euclidean,1920000,784,17.773115,100,RepeatedRnn,126.698105,1.0
fashion-mnist,32.0,euclidean,1920000,784,17.773115,100,Linear,59.63574,1.0
glove-25,64.0,cosine,75744896,25,580.1756,100,GreedySieve,402.25412,1.0
glove-25,64.0,cosine,75744896,25,580.1756,100,Sieve,315.77698,1.0
glove-25,64.0,cosine,75744896,25,580.1756,100,SieveSepCenter,134.08617,1.0
glove-25,64.0,cosine,75744896,25,580.1756,100,RepeatedRnn,358.57565,1.0
glove-25,64.0,cosine,75744896,25,580.1756,100,Linear,7.7769856,1.0
fashion-mnist,32.0,euclidean,1920000,784,17.773115,10,GreedySieve,941.6503,1.0
fashion-mnist,32.0,euclidean,1920000,784,17.773115,10,Sieve,1157.667,1.0
fashion-mnist,32.0,euclidean,1920000,784,17.773115,10,SieveSepCenter,980.6028,1.0
fashion-mnist,32.0,euclidean,1920000,784,17.773115,10,RepeatedRnn,128.63829,1.0
fashion-mnist,32.0,euclidean,1920000,784,17.773115,10,Linear,54.70755,1.0
sift,16.0,euclidean,16000000,128,121.413315,10,GreedySieve,46.383553,1.0
sift,16.0,euclidean,16000000,128,121.413315,10,Sieve,81.17226,1.0
sift,16.0,euclidean,16000000,128,121.413315,10,SieveSepCenter,59.441566,1.0
sift,16.0,euclidean,16000000,128,121.413315,10,RepeatedRnn,24.287876,1.0
sift,16.0,euclidean,16000000,128,121.413315,10,Linear,28.223406,1.0
sift,4.0,euclidean,4000000,128,28.638601,10,GreedySieve,42.684017,1.0
sift,4.0,euclidean,4000000,128,28.638601,10,Sieve,57.97631,1.0
sift,4.0,euclidean,4000000,128,28.638601,10,SieveSepCenter,53.104572,1.0
sift,4.0,euclidean,4000000,128,28.638601,10,RepeatedRnn,38.520985,1.0
sift,4.0,euclidean,4000000,128,28.638601,10,Linear,142.54451,1.0
glove-25,16.0,cosine,18936224,25,141.10068,10,GreedySieve,498.26245,1.0
glove-25,16.0,cosine,18936224,25,141.10068,10,Sieve,450.15723,1.0
glove-25,16.0,cosine,18936224,25,141.10068,10,SieveSepCenter,338.62726,1.0
glove-25,16.0,cosine,18936224,25,141.10068,10,RepeatedRnn,549.0731,1.0
glove-25,16.0,cosine,18936224,25,141.10068,10,Linear,30.91182,1.0
random-1000000-128,8.0,euclidean,8000000,128,66.01208,100,GreedySieve,1.5007533,1.0
random-1000000-128,8.0,euclidean,8000000,128,66.01208,100,Sieve,10.415446,1.0
random-1000000-128,8.0,euclidean,8000000,128,66.01208,100,SieveSepCenter,11.330845,1.0
random-1000000-128,8.0,euclidean,8000000,128,66.01208,100,RepeatedRnn,0.786148,1.0
random-1000000-128,8.0,euclidean,8000000,128,66.01208,100,Linear,57.601654,1.0
glove-25,64.0,cosine,75744896,25,580.1756,10,GreedySieve,461.06555,1.0
glove-25,64.0,cosine,75744896,25,580.1756,10,Sieve,393.76724,1.0
glove-25,64.0,cosine,75744896,25,580.1756,10,SieveSepCenter,306.39822,1.0
glove-25,64.0,cosine,75744896,25,580.1756,10,RepeatedRnn,414.02597,1.0
glove-25,64.0,cosine,75744896,25,580.1756,10,Linear,7.8642664,1.0
sift,64.0,euclidean,64000000,128,497.3597,10,GreedySieve,41.514294,1.0
sift,64.0,euclidean,64000000,128,497.3597,10,Sieve,74.343925,1.0
sift,64.0,euclidean,64000000,128,497.3597,10,SieveSepCenter,52.44838,1.0
sift,64.0,euclidean,64000000,128,497.3597,10,RepeatedRnn,1.7113762,1.0
sift,64.0,euclidean,64000000,128,497.3597,10,Linear,7.0478845,1.0
glove-25,128.0,cosine,151489792,25,1208.947,10,GreedySieve,440.75827,1.0
glove-25,128.0,cosine,151489792,25,1208.947,10,Sieve,383.01865,1.0
glove-25,128.0,cosine,151489792,25,1208.947,10,SieveSepCenter,298.31635,1.0
glove-25,128.0,cosine,151489792,25,1208.947,10,RepeatedRnn,321.4767,1.0
glove-25,128.0,cosine,151489792,25,1208.947,10,Linear,3.9257588,1.0
glove-25,2.0,cosine,2367028,25,17.347258,100,GreedySieve,315.63684,1.0
glove-25,2.0,cosine,2367028,25,17.347258,100,Sieve,205.1854,1.0
glove-25,2.0,cosine,2367028,25,17.347258,100,SieveSepCenter,261.6299,1.0
glove-25,2.0,cosine,2367028,25,17.347258,100,RepeatedRnn,301.77032,1.0
glove-25,2.0,cosine,2367028,25,17.347258,100,Linear,363.25735,1.0
sift,2.0,euclidean,2000000,128,13.916576,100,GreedySieve,37.987686,1.0
sift,2.0,euclidean,2000000,128,13.916576,100,Sieve,101.35534,1.0
sift,2.0,euclidean,2000000,128,13.916576,100,SieveSepCenter,127.67522,1.0
sift,2.0,euclidean,2000000,128,13.916576,100,RepeatedRnn,41.781235,1.0
sift,2.0,euclidean,2000000,128,13.916576,100,Linear,264.71536,1.0
random-1000000-128,8.0,euclidean,8000000,128,66.01208,10,GreedySieve,1.493898,1.0
random-1000000-128,8.0,euclidean,8000000,128,66.01208,10,Sieve,6.8760586,1.0
random-1000000-128,8.0,euclidean,8000000,128,66.01208,10,SieveSepCenter,7.1441584,1.0
random-1000000-128,8.0,euclidean,8000000,128,66.01208,10,RepeatedRnn,0.78556544,1.0
random-1000000-128,8.0,euclidean,8000000,128,66.01208,10,Linear,56.871326,1.0
sift,128.0,euclidean,128000000,128,1014.0004,10,GreedySieve,39.97387,1.0
sift,128.0,euclidean,128000000,128,1014.0004,10,Sieve,68.0055,1.0
sift,128.0,euclidean,128000000,128,1014.0004,10,SieveSepCenter,53.872578,1.0
sift,128.0,euclidean,128000000,128,1014.0004,10,RepeatedRnn,4.732844,1.0
sift,128.0,euclidean,128000000,128,1014.0004,10,Linear,3.2721012,1.0
fashion-mnist,2.0,euclidean,120000,784,1.081093,10,GreedySieve,992.54517,1.0
fashion-mnist,2.0,euclidean,120000,784,1.081093,10,Sieve,1141.2247,1.0
fashion-mnist,2.0,euclidean,120000,784,1.081093,10,SieveSepCenter,1089.524,1.0
